Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
"2025-07-11 23:49,Wi-Fi,""SSID: airBaltic Starlink"",60.015898,22.567807,66973,95883956,20528,20838708,50,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:48,Wi-Fi,""SSID: airBaltic Starlink"",60.014967,22.562194,75631,105914405,25280,44768016,54,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:48,Wi-Fi,""SSID: airBaltic Starlink"",60.009921,22.653661,64880,94609531,23877,30012328,50,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:47,Wi-Fi,""SSID: airBaltic Starlink"",59.940082,23.677147,71539,81146892,21858,37319011,62,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:46,Wi-Fi,""SSID: airBaltic Starlink"",60.015572,22.544093,57133,95290615,20496,26291745,50,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:45,Wi-Fi,""SSID: airBaltic Starlink"",60.017289,22.527301,57401,81115072,24422,27611588,47,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:45,Wi-Fi,""SSID: airBaltic Starlink"",60.017010,22.524648,62849,71264022,12787,21713341,50,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:44,Wi-Fi,""SSID: airBaltic Starlink"",60.017163,22.519782,65628,89971201,12006,21524661,64,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:43,Wi-Fi,""SSID: airBaltic Starlink"",60.016293,22.517348,56553,66910658,19870,10441028,52,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:42,Wi-Fi,""SSID: airBaltic Starlink"",60.018224,22.515174,64755,107500979,21227,34690530,52,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
